Participant,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q16_19,Q16_20,Q16_21,Q16_22,Q16_23,Q16_24,Q16_25,Q16_26,Q16_27,Q16_28,Q16_29,Q16_30,Q16_31,Q16_32,Q16_33,Q16_34,Q16_35,Q16_36,Q16_37,Q16_38,Q16_39,Q16_40,Q16_41,Q16_42,Q16_43,Q16_44,Q16_45,Q16_46,Q16_47,Q16_48,Q16_49,Q16_50,Q16_51,Q16_52,Q16_53,Q16_54,Q16_55,Q16_56,Q16_57,Q16_58,Q16_59,Q16_60,Q16_61,Q16_62,Q16_63,Others1,Top5Male,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Q74_6,Q74_7,Q74_8,Q74_9,Q74_10,Q74_11,Q74_12,Q74_13,Q74_14,Q74_15,Q74_16,Q74_17,Q74_18,Q74_19,Q74_20,Q74_21,Q74_22,Q74_23,Q74_24,Q74_25,Q74_26,Q74_27,Q74_28,Q74_29,Q74_30,Q74_31,Q74_32,Q74_33,Q74_34,Q74_35,Q74_36,Q74_37,Q74_38,Q74_39,Q74_40,Q74_41,Q74_42,Q74_43,Q74_44,Q74_45,Q74_46,Q74_47,Q74_48,Q74_49,Q74_50,Q74_51,Q74_52,Q74_53,Q74_54,Q74_55,Q74_56,Q74_57,Q74_58,Q74_59,Q74_60,Q74_61,Q74_62,Others2,Top5female,Q0,ID1,ID2,ID3,ID4,ID5,ID6,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,MCB1,MCB2,MCB3,MCB4,MCB5,MCB6,MCB7,MCB8,Gender,Age,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_6_TEXT,Race,SchoolYear,Major,SES,Generation,Q7,Q8,AROS_Emotional,AROS_Standard,AROS_Devaluation,AROS_Thinking,AROS_TOTAL,MCB_Multi,MCB_Blind,EID_Exp,EID_Com,EID_TOTAL,Smart_M,Exotic_M,Passive_M,Traditional_M,Secretive_M,Methodical_M,Self_Centered_M,Asexual_M,Aggressive_M,Avante_Garde_M,Open_M,Spontaneous_M,Caring_M,Cruel_M,Smart_W,Exotic_W,Passive_W,Traditional_W,Secretive_W,Methodical_W,Self_Centered_W,Asexual_W,Aggressive_W,Avante_Garde_W,Open_W,Spontaneous_W,Caring_W,Cruel_W,AAWomen,AAMen,M16_1,M16_2,M16_3,M16_4,M16_5,M16_6,M16_7,M16_8,M16_9,M16_10,M16_11,M16_12,M16_13,M16_14,M16_15,M16_16,M16_17,M16_18,M16_19,M16_20,M16_21,M16_22,M16_23,M16_24,M16_25,M16_26,M16_27,M16_28,M16_29,M16_30,M16_31,M16_32,M16_33,M16_34,M16_35,M16_36,M16_37,M16_38,M16_39,M16_40,M16_41,M16_42,M16_43,M16_44,M16_45,M16_46,M16_47,M16_48,M16_49,M16_50,M16_51,M16_52,M16_53,M16_54,M16_55,M16_56,M16_57,M16_58,M16_59,M16_60,M16_61,M16_62,W74_1,W74_2,W74_3,W74_4,W74_5,W74_6,W74_7,W74_8,W74_9,W74_10,W74_11,W74_12,W74_13,W74_14,W74_15,W74_16,W74_17,W74_18,W74_19,W74_20,W74_21,W74_22,W74_23,W74_24,W74_25,W74_26,W74_27,W74_28,W74_29,W74_30,W74_31,W74_32,W74_33,W74_34,W74_35,W74_36,W74_37,W74_38,W74_39,W74_40,W74_41,W74_42,W74_43,W74_44,W74_45,W74_46,W74_47,W74_48,W74_49,W74_50,W74_51,W74_52,W74_53,W74_54,W74_55,W74_56,W74_57,W74_58,W74_59,W74_60,W74_61,W74_62,Smart_M2,Exotic_M2,Passive_M2,Traditional_M2,Secretive_M2,Methodical_M2,Self_Centered_M2,Asexual_M2,Aggressive_M2,Avante_Garde_M2,Open_M2,Spontaneous_M2,Caring_M2,Cruel_M2,Smart_W2,Exotic_W2,Passive_W2,Traditional_W2,Secretive_W2,Methodical_W2,Self_Centered_W2,Asexual_W2,Aggressive_W2,Avante_Garde_W2,Open_W2,Spontaneous_W2,Caring_W2,Cruel_W2
93,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,"intelligent with school material, neat with their cars, quiet, dependent parents, progressive job or career",1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,"Intelligent with school material, straightforward with what they have to say, quiet in classrooms, neat in the way they dress/present themselves",hispanic,3,2,2,3,3,5,4,3,3,1,6,3,3,4,2,3,3,1,2,2,2,4,4,1,1,1,2,1,5,1,5,5,6,6,6,4,4,5,2,20,,,,1,,,,4,1st,expressed interest in nursing,3,2,,,3.14,3.17,1.38,3.33,62,5.5,4.75,3,3,3,1,1,2,1,1,1,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,2,0,0,0,5,5,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0,0.13,0,0,0,0.13,0,0,0.13,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,0.13,0.13,0.26,0.13,0,0,0,0,0,0,0.26,0,0,0
94,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,,"intelligent, sophisticated, shy, neat, and efficient. In the classroom during a socratic seminar or debate.",1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,"shy, efficient, sensitive, neat, and scientifically-minded. Can be seen during a class lecture.",Filipino American,2,4,3,2,4,4,7,4,4,3,4,2,2,2,2,2,2,1,4,2,1,7,1,1,1,1,1,1,4,1,7,7,7,7,7,4,7,7,1,23,,1,,,,,,2,1st,Health and Human Services,10,2,,,2.86,2.67,1.38,4.33,60,7,6.25,2.67,3.67,3.17,2,1,3,3,1,3,2,0,0,1,2,1,1,0,3,0,3,2,0,1,0,0,0,0,2,0,1,0,8,10,0.04,0.04,0.04,0.04,0.04,0.04,0,0.04,0.04,0,0,0.04,0.04,0.04,0,0,0.04,0,0.04,0,0.04,0.04,0,0,0,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0,0,0,0.04,0,0,0,0,0,0.04,0,0,0,0,0,0.04,0,0,0.04,0,0,0.04,0.07,0.07,0.07,0,0.07,0,0,0,0.07,0,0,0.07,0,0,0,0,0.07,0,0.07,0,0.07,0.07,0,0,0,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.07,0,0.08,0.04,0.12,0.12,0.04,0.12,0.08,0,0,0.04,0.08,0.04,0.04,0,0.21,0,0.21,0.14,0,0.07,0,0,0,0,0.14,0,0.07,0
95,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Intelligent, sophisticated, dependent, honest, persistent",1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Shy, quiet, intelligent, sophisticated, ambitious",,4,4,4,4,4,5,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,4,7,7,7,7,2,19,1,,,,,,,1,1st,Health Sciences,7,5,,,1.86,1,1,3,36,6.25,7,4,4.33,4.17,2,1,2,1,0,2,0,0,1,2,1,1,0,0,2,0,4,2,0,2,0,0,1,2,2,1,0,0,8,8,0.07,0,0,0,0,0,0,0,0.07,0.07,0,0,0,0,0,0.07,0,0,0,0.07,0.07,0.07,0,0,0.07,0,0,0,0,0,0,0,0.07,0,0.07,0,0.07,0,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0.06,0,0,0,0.06,0.06,0,0.06,0,0,0,0,0,0,0,0.06,0.06,0.06,0,0,0.06,0,0,0,0,0,0,0,0.06,0,0.06,0,0.06,0,0.06,0.06,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.07,0.14,0.07,0,0.14,0,0,0.07,0.14,0.07,0.07,0,0,0.12,0,0.24,0.12,0,0.12,0,0,0.06,0.12,0.12,0.06,0,0
96,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,"intelligent - classroom discussion  quiet - classroom, social setting loyal to family ties - tradition, respecting elders shy - social setting, dates, with significant other, with new people practical - frugal, conscientious, logical",1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,"reserved - classroom setting, new friends meeting quiet - classroom setting, discussion group lazy - group work, job duties neat - home setting unaggressive - social settings, work setting, school setting",White,2,2,3,2,2,2,4,5,4,4,6,1,1,1,1,4,4,2,6,1,1,3,4,4,1,4,4,4,5,2,6,6,6,6,6,2,2,1,2,18,,,1,,,,,3,3rd,Psychology,10,5,,,4.43,2,2.75,3.67,76,6,2.75,2,2.33,2.17,2,0,2,4,0,1,0,0,0,0,1,0,1,0,1,0,4,1,0,1,0,0,0,1,1,0,1,0,6,6,0.08,0,0,0,0.08,0,0,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0.08,0.08,0,0,0,0,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0.08,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0.08,0,0,0,0.08,0,0,0.08,0.08,0,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0,0,0,0,0,0,0,0.08,0,0,0.08,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0.32,0,0.08,0,0,0,0,0.08,0,0.08,0,0.08,0,0.32,0.08,0,0.08,0,0,0,0.08,0.08,0,0.08,0
97,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,Persistent marriage and dates  Quick tempered social setting  Honest work environment  Intelligent in their studies  Neat everything about them,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Passionate in their hobbies  Quiet about their personal life  Intelligence in studies  Organize in a work setting  Artistic with everything,Hispanic,4,4,3,4,4,4,7,5,5,4,3,3,3,3,3,5,4,3,3,3,3,6,6,5,2,7,3,3,4,1,7,7,3,7,6,5,6,7,2,20,,,1,,,,,3,3rd,Psychology,2,2,,,4,4.17,3.25,5,94,6,6,4,3.67,3.83,1,0,0,1,1,1,0,0,1,0,2,0,0,1,1,1,2,0,1,0,0,0,0,1,0,1,0,0,4,2,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0,0,0.1,0,0.2,0,0,0.1,0.1,0.1,0.2,0,0.1,0,0,0,0,0.1,0,0.1,0,0
98,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,"straight forward (will tell you what’s on their mind), tradition loving (stick to cultural traditions with food), sophisticated (older men seem very dressed and prepared), generous ( when invited to their home they have great hospitality), honest ( can be blunt, won’t lie)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,"attractive (westerns have really leaned towards asian beauty standard lately), nurturant (very caring friends, care about your feelings), loyal to family ties (seem to listen to their families and listen to their elders more), scientifically minded (have always known more asian Americans interested in science), straightforward (will be honest, wont bend the truth)",white,4,2,2,2,3,2,2,3,4,2,3,3,2,2,2,5,2,1,3,1,3,4,2,6,2,1,1,1,1,1,7,7,5,5,4,7,7,1,2,25,,,1,,,,,3,2,biomedical,4,5,,,3.43,1.83,1.5,3.33,57,6,4.75,3,2,2.5,0,0,0,1,0,0,0,0,0,1,2,0,1,0,1,1,1,3,0,1,0,0,0,1,1,0,1,0,6,3,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0,0,0,0,0,0,0,0,0.09,0,0.09,0,0,0,0.09,0,0.09,0,0,0,0,0.09,0,0,0.09,0,0,0,0,0,0,0.09,0,0,0,0.09,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14,0.28,0,0.14,0,0.09,0.09,0.09,0.27,0,0.09,0,0,0,0.09,0.09,0,0.09,0
99,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,Reserved - In classrooms and just in general places. Asian people tend to be more private and show no emotions or keep to themselves. Religious - Public places and at home. People judge Asian people for practicing in what they believe in. Rude - Can be seen at stores. Asian men can be seen sometimes just talking back and people take it for being rude. Secretive - In a lot of households. Keep secrets from their parents. Quiet - In classrooms and the public. Minding their own business or not talking to many students.,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,Sensitive - Can be seen at school. That Asian females can get hurt easily. Cry easily. Loyal to Family Ties - Can be seen at home and public places. Asian females are always close to their family and take care of them. Shy - At school and public places. Not talking to much people and having a soft low voice. Quiet - Classroom and public places. Not talking to random people and only talking to those they want to. Traditional - At home and public places. Wearing makeup and traditional clothing. Following traditional traditions.,Asian American,5,5,5,4,4,5,4,4,3,2,1,1,1,3,3,4,2,1,2,2,3,2,3,1,1,1,1,1,1,2,5,5,5,4,2,6,7,1,2,19,,1,,,,,,2,2nd,Health Science,6,2,,,2.29,2.67,1.25,2.33,49,4.75,4,4.33,5,4.67,1,0,2,3,1,3,1,0,0,0,1,0,1,0,1,0,3,3,0,1,1,0,0,0,0,1,1,1,7,9,0.07,0,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.07,0,0,0,0.07,0,0.07,0,0,0,0,0,0.07,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0,0.07,0,0,0,0.07,0,0,0,0,0.07,0,0.07,0,0,0,0,0.07,0,0,0,0.07,0,0,0,0.07,0.07,0.07,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0.07,0.07,0,0.14,0.21,0.07,0.21,0.07,0,0,0,0.07,0,0.07,0,0.07,0,0.21,0.21,0,0.07,0.07,0,0,0,0,0.07,0.07,0.07
100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,Reserved - in classroom Intelligent - at school Loyal to family ties - at home Efficient - at work Superstitious - at home and work,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,Traditional - at home Religious - around family Passionated - while partaking in activities that interests them Generous - in social settings Artistic - at whatever they like to do,hispanic,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,1,18,,,,1,,,,4,3rd,psychology,6,1,Mexico,20,1,1,1,1,24,7,7,5,5,5,2,1,2,3,0,1,0,0,1,1,0,0,1,0,3,2,3,3,0,1,0,0,0,1,1,0,2,0,11,8,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,0,0.06,0,0,0,0.06,0,0.06,0,0,0,0,0,0.06,0,0.06,0.06,0,0,0,0.06,0,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0.06,0,0,0,0.05,0.05,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0.05,0.05,0,0,0,0,0.05,0.05,0,0.05,0.05,0,0,0.05,0,0.05,0,0.05,0,0.05,0,0,0.05,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0.12,0.06,0.12,0.18,0,0.06,0,0,0.06,0.06,0,0,0.06,0,0.15,0.1,0.15,0.15,0,0.05,0,0,0,0.05,0.05,0,0.1,0
101,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,"Effeminate: movies, music  Tradition-loving: churches, temples, family events  Conservative: politics,  Individualistic: has a job, lives alone Sensitive: age, height, skin",1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,,"Loyal to family ties: Family businesses Neat: Facial and skin care, tidy house  Materialistic: branded clothing and bags  Effeminate: date, celebration  Exotic: Faces harassment in public",Asian American,4,3,4,3,4,3,4,5,5,3,6,4,4,5,3,4,2,4,4,5,4,3,4,4,1,4,2,3,2,4,5,5,5,4,4,3,4,3,2,20,,1,,,,,,2,1st,Health Science,1,2,,,4.14,4.17,3.13,3.33,89,4.75,3.5,3.67,3.33,3.5,0,0,2,2,0,0,1,1,0,1,1,0,1,0,1,2,2,2,0,0,0,1,1,0,1,0,2,0,7,4,0,0,0.09,0,0.09,0,0,0.09,0,0,0,0.09,0,0,0,0,0,0.09,0,0.09,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0.09,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.07,0,0.07,0,0.07,0,0,0,0,0,0,0.07,0,0.07,0,0.07,0,0,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0.07,0,0,0,0,0,0,0,0,0.07,0,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0.18,0.18,0,0,0.09,0.09,0,0.09,0.09,0,0.09,0,0.07,0.14,0.14,0.14,0,0,0,0.07,0.07,0,0.07,0,0.14,0
102,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,,Intelligent - at school  Individualistic - at home Ambitious - at work or school Tradition-loving - at home Persistent - at work,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,,Honest - at work Passionate - at home Traditional - at home Intelligent - at work Ambitious - at work,Mexican American,5,4,4,4,4,4,4,1,7,5,4,2,2,1,4,4,1,1,2,1,1,1,1,1,7,1,1,1,1,1,5,6,6,6,1,1,1,1,2,20,,,,1,,,,4,3rd,Psychology,4,4,,,2,2.17,2.38,3,55,5.75,1,4.33,4,4.17,2,0,0,3,1,3,1,0,2,2,1,1,1,0,2,2,2,3,1,2,1,0,2,4,1,0,3,0,9,8,0.05,0,0,0,0,0,0.05,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0.05,0.05,0,0,0.05,0.05,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.04,0,0,0.04,0.04,0,0.04,0,0.04,0,0,0.04,0,0.04,0.04,0,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0.04,0,0.04,0,0,0,0.04,0,0,0,0,0,0.04,0.04,0,0.04,0.04,0.04,0,0,0,0,0,0.04,0,0,0.04,0.04,0,0,0,0.04,0,0,0.04,0,0.1,0,0,0.15,0.05,0.15,0.05,0,0.1,0.1,0.05,0.05,0.05,0,0.08,0.08,0.08,0.12,0.04,0.08,0.04,0,0.08,0.16,0.04,0,0.12,0
103,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,intelligent: in a classroom traditional: arranged marriage loyal to family ties: holidays practical: working in government,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,attractive: tv and music ambitious: job settings witty: on a date loyal to family ties: times at home individualistic: through fashion,,4,4,5,4,4,5,1,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,5,7,1,7,1,2,21,1,,1,,,,,6,1st,Criminal Justice,1,5,,,1.71,1,1,1.33,30,6.25,4,4,4.67,4.33,2,2,2,3,1,2,0,0,0,3,0,0,0,0,2,3,0,1,0,1,0,0,1,1,2,0,1,1,6,7,0.05,0,0,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,0.05,0.05,0.05,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0.05,0.05,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.06,0.06,0.06,0,0,0,0,0,0.06,0,0,0,0,0.06,0,0,0.06,0,0.06,0.06,0.06,0,0,0,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0,0.06,0,0,0.06,0.06,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.15,0.05,0.1,0,0,0,0.15,0,0,0,0,0.12,0.18,0,0.06,0,0.06,0,0,0.06,0.06,0.12,0,0.06,0.06
104,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,,,1. Sensitive (Relationships) 2. Tradition-Loving (religion involved such as rituals for example in the Vietnamese culture) 3. Intelligent (classroom) 4. Superstitious (Temple) 5. Materialistic (Work and School),1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,"1. Attractive (Dates, Social Events) 2. Intelligent (Classroom) 3. Passionate (Hobbies) 4. Religious (Temple) 5. Traditional (Temple and Religious Events)",Vietnamese,3,3,4,4,4,3,7,5,6,2,6,6,1,1,7,7,6,1,7,1,5,7,7,7,1,2,4,2,6,1,1,6,5,7,1,7,7,1,1,30,,1,,,,,,2,2,Kinesiology,2,2,,,6.14,4,2.38,6.33,105,4.75,4,3.67,3.33,3.5,2,2,4,4,1,3,0,0,0,1,1,0,1,0,1,2,2,2,1,3,0,0,0,2,2,1,1,0,7,11,0.04,0,0.04,0.04,0.04,0,0,0,0,0,0,0.04,0,0.04,0.04,0,0.04,0,0.04,0,0.04,0.04,0,0,0,0,0.04,0,0.04,0,0.04,0.04,0.04,0.04,0,0,0,0.04,0.04,0,0,0,0.04,0,0,0,0.04,0,0.04,0,0,0,0,0.04,0,0,0,0,0.04,0,0.04,0,0.05,0,0.05,0.05,0.05,0.05,0,0,0.05,0,0,0.05,0.05,0.05,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0.05,0,0.08,0.08,0.16,0.16,0.04,0.12,0,0,0,0.04,0.04,0,0.04,0,0.05,0.1,0.1,0.1,0.05,0.15,0,0,0,0.1,0.1,0.05,0.05,0
